content,sentimen,aspek,content_clean,content_casefolded,content_normalized,content_stopword,content_tokens,clean_text,content_stemmed
"Udah keren sih tapi sangat di sayangkan belum ada mobile tunai,, semoga update terbaru ada mobile tunai karna berguna banget kalau mau ngambil ke atm lupa kartu",Positive,Tampilan,Udah keren sih tapi sangat di sayangkan belum ada mobile tunai semoga update terbaru ada mobile tunai karna berguna banget kalau mau ngambil ke atm lupa kartu,udah keren sih tapi sangat di sayangkan belum ada mobile tunai semoga update terbaru ada mobile tunai karna berguna banget kalau mau ngambil ke atm lupa kartu,sudah keren sih tapi sangat di sayangkan belum ada mobile tunai semoga update terbaru ada mobile tunai karena berguna banget kalau mau mengambil ke ATM lupa kartu,keren sih sangat sayangkan belum mobile tunai semoga update terbaru mobile tunai berguna banget mengambil ATM lupa kartu,"['keren', 'sih', 'sangat', 'sayangkan', 'belum', 'mobile', 'tunai', 'semoga', 'update', 'terbaru', 'mobile', 'tunai', 'berguna', 'banget', 'mengambil', 'ATM', 'lupa', 'kartu']",keren sih sangat sayangkan belum mobile tunai semoga update terbaru mobile tunai berguna banget mengambil ATM lupa kartu,"['keren', 'sih', 'sangat', 'sayang', 'belum', 'mobile', 'tunai', 'moga', 'update', 'baru', 'mobile', 'tunai', 'guna', 'banget', 'ambil', 'atm', 'lupa', 'kartu']"
"Aplikasi kekinian yg modern, simple, nyaman dan aman.",Positive,Tampilan,Aplikasi kekinian yg modern simple nyaman dan aman,aplikasi kekinian yg modern simple nyaman dan aman,aplikasi kekinian yang modern simpel nyaman dan aman,kekinian modern simpel nyaman aman,"['kekinian', 'modern', 'simpel', 'nyaman', 'aman']",kekinian modern simpel nyaman aman,"['kini', 'modern', 'simpel', 'nyaman', 'aman']"
Tampilan aplikasi lebih menarik & colourful daripada mobile banking yg lama. Transaksi jadi lebih cepat,Positive,Tampilan,Tampilan aplikasi lebih menarik  colourful daripada mobile banking yg lama Transaksi jadi lebih cepat,tampilan aplikasi lebih menarik  colourful daripada mobile banking yg lama transaksi jadi lebih cepat,tampilan aplikasi lebih menarik colourful daripada mobile banking yang lama transaksi jadi lebih cepat,tampilan lebih menarik colourful mobile banking lama transaksi lebih cepat,"['tampilan', 'lebih', 'menarik', 'colourful', 'mobile', 'banking', 'lama', 'transaksi', 'lebih', 'cepat']",tampilan lebih menarik colourful mobile banking lama transaksi lebih cepat,"['tampilan', 'lebih', 'menarik', 'colourful', 'mobile', 'banking', 'lama', 'transaksi', 'lebih', 'cepat']"
Lebih simple dan mudah,Positive,Tampilan,Lebih simple dan mudah,lebih simple dan mudah,lebih simpel dan mudah,lebih simpel mudah,"['lebih', 'simpel', 'mudah']",lebih simpel mudah,"['lebih', 'simpel', 'mudah']"
Aaamaazing.. keren abis lebih ringkes jadinya,Positive,Tampilan,Aaamaazing keren abis lebih ringkes jadinya,aaamaazing keren abis lebih ringkes jadinya,aaamaazing keren habis lebih ringkes jadinya,aaamaazing keren habis lebih ringkes,"['aaamaazing', 'keren', 'habis', 'lebih', 'ringkes']",aaamaazing keren habis lebih ringkes,"['aaamaazing', 'keren', 'habis', 'lebih', 'ringkes']"
"Aplikasi nya lebih simpel dan lebih mudah untuk mengecek transaksi, tapi masih belum lengkap ga ada menu buat tarik setor tunai. Mohon dilengkapi kedepannya.",Positive,Tampilan,Aplikasi nya lebih simpel dan lebih mudah untuk mengecek transaksi tapi masih belum lengkap ga ada menu buat tarik setor tunai Mohon dilengkapi kedepannya,aplikasi nya lebih simpel dan lebih mudah untuk mengecek transaksi tapi masih belum lengkap ga ada menu buat tarik setor tunai mohon dilengkapi kedepannya,aplikasi ya lebih simpel dan lebih mudah untuk mengecek transaksi tapi masih belum lengkap tidak ada menu buat tarik setor tunai mohon dilengkapi kedepannya,lebih simpel lebih mudah mengecek transaksi masih belum lengkap tidak menu tarik setor tunai mohon dilengkapi kedepannya,"['lebih', 'simpel', 'lebih', 'mudah', 'mengecek', 'transaksi', 'masih', 'belum', 'lengkap', 'tidak', 'menu', 'tarik', 'setor', 'tunai', 'mohon', 'dilengkapi', 'kedepannya']",lebih simpel lebih mudah mengecek transaksi masih belum lengkap tidak menu tarik setor tunai mohon dilengkapi kedepannya,"['lebih', 'simpel', 'lebih', 'mudah', 'ecek', 'transaksi', 'masih', 'belum', 'lengkap', 'tidak', 'menu', 'tarik', 'setor', 'tunai', 'mohon', 'lengkap', 'depan']"
"App yang muda banget, all transaksi cepat, keren...",Positive,Tampilan,App yang muda banget all transaksi cepat keren,app yang muda banget all transaksi cepat keren,app yang muda banget all transaksi cepat keren,app muda banget all transaksi cepat keren,"['app', 'muda', 'banget', 'all', 'transaksi', 'cepat', 'keren']",app muda banget all transaksi cepat keren,"['app', 'muda', 'banget', 'all', 'transaksi', 'cepat', 'keren']"
Lebih suka aplikasi BNI yang ini daripada mbanking lebih berwarna. Tapi kalo bisa diupdate lagi supaya bisa perubahan data rekening di aplikasi tanpa harus ke bank.,Positive,Tampilan,Lebih suka aplikasi BNI yang ini daripada mbanking lebih berwarna Tapi kalo bisa diupdate lagi supaya bisa perubahan data rekening di aplikasi tanpa harus ke bank,lebih suka aplikasi bni yang ini daripada mbanking lebih berwarna tapi kalo bisa diupdate lagi supaya bisa perubahan data rekening di aplikasi tanpa harus ke bank,lebih sering aplikasi bni yang ini daripada m banking lebih berwarna tapi kalau bisa diupdate lagi supaya bisa perubahan data rekening di aplikasi tanpa harus ke bank,lebih sering m banking lebih berwarna bisa diupdate bisa perubahan data rekening tanpa bank,"['lebih', 'sering', 'm', 'banking', 'lebih', 'berwarna', 'bisa', 'diupdate', 'bisa', 'perubahan', 'data', 'rekening', 'tanpa', 'bank']",lebih sering m banking lebih berwarna bisa diupdate bisa perubahan data rekening tanpa bank,"['lebih', 'sering', 'm', 'banking', 'lebih', 'warna', 'bisa', 'diupdate', 'bisa', 'ubah', 'data', 'rekening', 'tanpa', 'bank']"
Informasi dan transaski keuangan jadi kelihatan.... jadinya besar pasak dari tiang. Keren aplikasi Wondr ini.... Ditunggu tarik tunai seperti MBanking,Positive,Tampilan,Informasi dan transaski keuangan jadi kelihatan jadinya besar pasak dari tiang Keren aplikasi Wondr ini Ditunggu tarik tunai seperti MBanking,informasi dan transaski keuangan jadi kelihatan jadinya besar pasak dari tiang keren aplikasi wondr ini ditunggu tarik tunai seperti mbanking,informasi dan transaski keuangan jadi kelihatan jadinya besar pasak dari tiang keren aplikasi wondr ini ditunggu tarik tunai seperti m banking,informasi transaski keuangan pasak tiang keren ditunggu tarik tunai m banking,"['informasi', 'transaski', 'keuangan', 'pasak', 'tiang', 'keren', 'ditunggu', 'tarik', 'tunai', 'm', 'banking']",informasi transaski keuangan pasak tiang keren ditunggu tarik tunai m banking,"['informasi', 'transaski', 'uang', 'pasak', 'tiang', 'keren', 'tunggu', 'tarik', 'tunai', 'm', 'banking']"
"Wondr by BNI tampilan lebih keren dan banyak fitur"" yang memudahkan kita untuk transaksi. Cocok buat aku",Positive,Tampilan,Wondr by BNI tampilan lebih keren dan banyak fitur yang memudahkan kita untuk transaksi Cocok buat aku,wondr by bni tampilan lebih keren dan banyak fitur yang memudahkan kita untuk transaksi cocok buat aku,wondr by bni tampilan lebih keren dan banyak fitur yang memudahkan kita untuk transaksi cocok buat aku,tampilan lebih keren fitur memudahkan transaksi cocok,"['tampilan', 'lebih', 'keren', 'fitur', 'memudahkan', 'transaksi', 'cocok']",tampilan lebih keren fitur memudahkan transaksi cocok,"['tampilan', 'lebih', 'keren', 'fitur', 'mudah', 'transaksi', 'cocok']"
"Tampilan menu lebih simple warna background lebih cerah, jd semangat kalau mau transaksi ðŸ˜",Positive,Tampilan,Tampilan menu lebih simple warna background lebih cerah jd semangat kalau mau transaksi,tampilan menu lebih simple warna background lebih cerah jd semangat kalau mau transaksi,tampilan menu lebih simpel warna background lebih cerah jadi semangat kalau mau transaksi,tampilan menu lebih simpel warna background lebih cerah semangat transaksi,"['tampilan', 'menu', 'lebih', 'simpel', 'warna', 'background', 'lebih', 'cerah', 'semangat', 'transaksi']",tampilan menu lebih simpel warna background lebih cerah semangat transaksi,"['tampilan', 'menu', 'lebih', 'simpel', 'warna', 'background', 'lebih', 'cerah', 'semangat', 'transaksi']"
Aplikasinya simpel & mudah dipahami,Positive,Tampilan,Aplikasinya simpel  mudah dipahami,aplikasinya simpel  mudah dipahami,aplikasinya simpel mudah dipahami,simpel mudah dipahami,"['simpel', 'mudah', 'dipahami']",simpel mudah dipahami,"['simpel', 'mudah', 'paham']"
Simpel dan memudahkan,Positive,Tampilan,Simpel dan memudahkan,simpel dan memudahkan,simpel dan memudahkan,simpel memudahkan,"['simpel', 'memudahkan']",simpel memudahkan,"['simpel', 'mudah']"
"Tampilan menarik, lebih mudah",Positive,Tampilan,Tampilan menarik lebih mudah,tampilan menarik lebih mudah,tampilan menarik lebih mudah,tampilan menarik lebih mudah,"['tampilan', 'menarik', 'lebih', 'mudah']",tampilan menarik lebih mudah,"['tampilan', 'menarik', 'lebih', 'mudah']"
Aplikasi yang sangat bagus modern dan simple namun lengkap..,Positive,Tampilan,Aplikasi yang sangat bagus modern dan simple namun lengkap,aplikasi yang sangat bagus modern dan simple namun lengkap,aplikasi yang sangat bagus modern dan simpel namun lengkap,sangat bagus modern simpel lengkap,"['sangat', 'bagus', 'modern', 'simpel', 'lengkap']",sangat bagus modern simpel lengkap,"['sangat', 'bagus', 'modern', 'simpel', 'lengkap']"
Aplikasi terbarunya keren dan nyaman,Positive,Tampilan,Aplikasi terbarunya keren dan nyaman,aplikasi terbarunya keren dan nyaman,aplikasi terbarunya keren dan nyaman,terbarunya keren nyaman,"['terbarunya', 'keren', 'nyaman']",terbarunya keren nyaman,"['baru', 'keren', 'nyaman']"
Aplikasi lebih simpel dan mudah...,Positive,Tampilan,Aplikasi lebih simpel dan mudah,aplikasi lebih simpel dan mudah,aplikasi lebih simpel dan mudah,lebih simpel mudah,"['lebih', 'simpel', 'mudah']",lebih simpel mudah,"['lebih', 'simpel', 'mudah']"
"Keren dan mudah digunakan,,, mantab wondr BNI",Positive,Tampilan,Keren dan mudah digunakan mantab wondr BNI,keren dan mudah digunakan mantab wondr bni,keren dan mudah digunakan mantap wondr bni,keren mudah mantap,"['keren', 'mudah', 'mantap']",keren mudah mantap,"['keren', 'mudah', 'mantap']"
"Aplikasi Mobile Banking terbaru dari BNI ini sangat bagus, cepat dan lebih mudah penggunaannya serta dg warna yg Fresh. Trims BNI. Jaya Selalu.",Positive,Tampilan,Aplikasi Mobile Banking terbaru dari BNI ini sangat bagus cepat dan lebih mudah penggunaannya serta dg warna yg Fresh Trims BNI Jaya Selalu,aplikasi mobile banking terbaru dari bni ini sangat bagus cepat dan lebih mudah penggunaannya serta dg warna yg fresh trims bni jaya selalu,aplikasi mobile banking terbaru dari bni ini sangat bagus cepat dan lebih mudah penggunaannya serta dengan warna yang fresh terima kasih bni jaya selalu,mobile banking terbaru sangat bagus cepat lebih mudah penggunaannya warna fresh terima kasih jaya,"['mobile', 'banking', 'terbaru', 'sangat', 'bagus', 'cepat', 'lebih', 'mudah', 'penggunaannya', 'warna', 'fresh', 'terima', 'kasih', 'jaya']",mobile banking terbaru sangat bagus cepat lebih mudah penggunaannya warna fresh terima kasih jaya,"['mobile', 'banking', 'baru', 'sangat', 'bagus', 'cepat', 'lebih', 'mudah', 'guna', 'warna', 'fresh', 'terima', 'kasih', 'jaya']"
"Aplikasinya sangat mudah dan cepat aksesnya, kerennn",Positive,Tampilan,Aplikasinya sangat mudah dan cepat aksesnya kerennn,aplikasinya sangat mudah dan cepat aksesnya kerennn,aplikasinya sangat mudah dan cepat aksesnya keren,sangat mudah cepat aksesnya keren,"['sangat', 'mudah', 'cepat', 'aksesnya', 'keren']",sangat mudah cepat aksesnya keren,"['sangat', 'mudah', 'cepat', 'akses', 'keren']"
"Simpel, colorful, dan lebih cepat sih kalau dibandingkan mbanking. Mungkin kalau mbanking apk full service dari BNI, cuma kalau kitaÂ² yg biasa hanya pake untuk transfer, qris, atau topup ewallet pake Wondr udah jos",Positive,Tampilan,Simpel colorful dan lebih cepat sih kalau dibandingkan mbanking Mungkin kalau mbanking apk full service dari BNI cuma kalau kita yg biasa hanya pake untuk transfer qris atau topup ewallet pake Wondr udah jos,simpel colorful dan lebih cepat sih kalau dibandingkan mbanking mungkin kalau mbanking apk full service dari bni cuma kalau kita yg biasa hanya pake untuk transfer qris atau topup ewallet pake wondr udah jos,simpel colorful dan lebih cepat sih kalau dibandingkan m banking mungkin kalau m banking aplikasi full service dari bni cuma kalau kita yang biasa hanya pakai untuk transfer QRIS atau top up ewallet pakai wondr sudah jos,simpel colorful lebih cepat sih dibandingkan m banking m banking full service pakai transfer QRIS top up ewallet pakai jos,"['simpel', 'colorful', 'lebih', 'cepat', 'sih', 'dibandingkan', 'm', 'banking', 'm', 'banking', 'full', 'service', 'pakai', 'transfer', 'QRIS', 'top', 'up', 'ewallet', 'pakai', 'jos']",simpel colorful lebih cepat sih dibandingkan m banking m banking full service pakai transfer QRIS top up ewallet pakai jos,"['simpel', 'colorful', 'lebih', 'cepat', 'sih', 'banding', 'm', 'banking', 'm', 'banking', 'full', 'service', 'pakai', 'transfer', 'qris', 'top', 'up', 'ewallet', 'pakai', 'jos']"
"Tampilan keren , mudah dipahami, lebih praktis",Positive,Tampilan,Tampilan keren  mudah dipahami lebih praktis,tampilan keren  mudah dipahami lebih praktis,tampilan keren mudah dipahami lebih praktis,tampilan keren mudah dipahami lebih praktis,"['tampilan', 'keren', 'mudah', 'dipahami', 'lebih', 'praktis']",tampilan keren mudah dipahami lebih praktis,"['tampilan', 'keren', 'mudah', 'paham', 'lebih', 'praktis']"
Lebih simple dan cepatðŸ‘ðŸ‘ðŸ‘,Positive,Tampilan,Lebih simple dan cepat,lebih simple dan cepat,lebih simpel dan cepat,lebih simpel cepat,"['lebih', 'simpel', 'cepat']",lebih simpel cepat,"['lebih', 'simpel', 'cepat']"
Bagus tampilannya,Positive,Tampilan,Bagus tampilannya,bagus tampilannya,bagus tampilannya,bagus tampilannya,"['bagus', 'tampilannya']",bagus tampilannya,"['bagus', 'tampil']"
Lebih simpel dan cepat,Positive,Tampilan,Lebih simpel dan cepat,lebih simpel dan cepat,lebih simpel dan cepat,lebih simpel cepat,"['lebih', 'simpel', 'cepat']",lebih simpel cepat,"['lebih', 'simpel', 'cepat']"
"Tampilan Oke, All Transaksi terposting (debit kredit), lebih cepat, lebih mudah,",Positive,Tampilan,Tampilan Oke All Transaksi terposting debit kredit lebih cepat lebih mudah,tampilan oke all transaksi terposting debit kredit lebih cepat lebih mudah,tampilan oke all transaksi terposting debit kredit lebih cepat lebih mudah,tampilan oke all transaksi terposting debit kredit lebih cepat lebih mudah,"['tampilan', 'oke', 'all', 'transaksi', 'terposting', 'debit', 'kredit', 'lebih', 'cepat', 'lebih', 'mudah']",tampilan oke all transaksi terposting debit kredit lebih cepat lebih mudah,"['tampilan', 'oke', 'all', 'transaksi', 'terposting', 'debit', 'kredit', 'lebih', 'cepat', 'lebih', 'mudah']"
"User friendly, simple, desain menarik!",Positive,Tampilan,User friendly simple desain menarik,user friendly simple desain menarik,user friendly simpel desain menarik,user friendly simpel desain menarik,"['user', 'friendly', 'simpel', 'desain', 'menarik']",user friendly simpel desain menarik,"['user', 'friendly', 'simpel', 'desain', 'menarik']"
Wahh keren... ini lebih mudah dan cepat untk bertransaksi..ðŸ‘ðŸ»,Positive,Tampilan,Wahh keren ini lebih mudah dan cepat untk bertransaksi,wahh keren ini lebih mudah dan cepat untk bertransaksi,wah keren ini lebih mudah dan cepat untuk bertransaksi,keren lebih mudah cepat bertransaksi,"['keren', 'lebih', 'mudah', 'cepat', 'bertransaksi']",keren lebih mudah cepat bertransaksi,"['keren', 'lebih', 'mudah', 'cepat', 'transaksi']"
Tampilan lebih simple dan user friendly,Positive,Tampilan,Tampilan lebih simple dan user friendly,tampilan lebih simple dan user friendly,tampilan lebih simpel dan user friendly,tampilan lebih simpel user friendly,"['tampilan', 'lebih', 'simpel', 'user', 'friendly']",tampilan lebih simpel user friendly,"['tampilan', 'lebih', 'simpel', 'user', 'friendly']"
"Aplikasi sangat baik, lebih fresh tampilannya serta fiturnya lengkap",Positive,Tampilan,Aplikasi sangat baik lebih fresh tampilannya serta fiturnya lengkap,aplikasi sangat baik lebih fresh tampilannya serta fiturnya lengkap,aplikasi sangat baik lebih fresh tampilannya serta fiturnya lengkap,sangat baik lebih fresh tampilannya fiturnya lengkap,"['sangat', 'baik', 'lebih', 'fresh', 'tampilannya', 'fiturnya', 'lengkap']",sangat baik lebih fresh tampilannya fiturnya lengkap,"['sangat', 'baik', 'lebih', 'fresh', 'tampil', 'fiturnya', 'lengkap']"
"Aplikasinya colorfull, tidak lemot, lebih praktis dipakai.",Positive,Tampilan,Aplikasinya colorfull tidak lemot lebih praktis dipakai,aplikasinya colorfull tidak lemot lebih praktis dipakai,aplikasinya colorful tidak lemot lebih praktis dipakai,colorful tidak lemot lebih praktis dipakai,"['colorful', 'tidak', 'lemot', 'lebih', 'praktis', 'dipakai']",colorful tidak lemot lebih praktis dipakai,"['colorful', 'tidak', 'lot', 'lebih', 'praktis', 'pakai']"
"Mudah, simpel dan menarik promonya..",Positive,Tampilan,Mudah simpel dan menarik promonya,mudah simpel dan menarik promonya,mudah simpel dan menarik promonya,mudah simpel menarik promonya,"['mudah', 'simpel', 'menarik', 'promonya']",mudah simpel menarik promonya,"['mudah', 'simpel', 'menarik', 'promonya']"
aplikasinya mudah dan menarik,Positive,Tampilan,aplikasinya mudah dan menarik,aplikasinya mudah dan menarik,aplikasinya mudah dan menarik,mudah menarik,"['mudah', 'menarik']",mudah menarik,"['mudah', 'menarik']"
"Aplikasi yg menarik, eyecatching dan mudah d gunakan...",Positive,Tampilan,Aplikasi yg menarik eyecatching dan mudah d gunakan,aplikasi yg menarik eyecatching dan mudah d gunakan,aplikasi yang menarik eyecatching dan mudah di gunakan,menarik eyecatching mudah,"['menarik', 'eyecatching', 'mudah']",menarik eyecatching mudah,"['menarik', 'eyecatching', 'mudah']"
"Aplikasi sangat bagus, transaksi jadi lebih cepat dan simple serta tampilan Colourfull.",Positive,Tampilan,Aplikasi sangat bagus transaksi jadi lebih cepat dan simple serta tampilan Colourfull,aplikasi sangat bagus transaksi jadi lebih cepat dan simple serta tampilan colourfull,aplikasi sangat bagus transaksi jadi lebih cepat dan simpel serta tampilan colourfull,sangat bagus transaksi lebih cepat simpel tampilan colourfull,"['sangat', 'bagus', 'transaksi', 'lebih', 'cepat', 'simpel', 'tampilan', 'colourfull']",sangat bagus transaksi lebih cepat simpel tampilan colourfull,"['sangat', 'bagus', 'transaksi', 'lebih', 'cepat', 'simpel', 'tampilan', 'colourfull']"
Keren abis ini aplikasi,Positive,Tampilan,Keren abis ini aplikasi,keren abis ini aplikasi,keren habis ini aplikasi,keren habis,"['keren', 'habis']",keren habis,"['keren', 'habis']"
"Tampilannya lucu bgt, menarik, dan bayar-bayar menjadi lebih cepat dan mudah. Thanks wondr",Positive,Tampilan,Tampilannya lucu bgt menarik dan bayar bayar menjadi lebih cepat dan mudah Thanks wondr,tampilannya lucu bgt menarik dan bayar bayar menjadi lebih cepat dan mudah thanks wondr,tampilannya lucu banget menarik dan bayar bayar menjadi lebih cepat dan mudah thanks wondr,tampilannya lucu banget menarik bayar bayar lebih cepat mudah thanks,"['tampilannya', 'lucu', 'banget', 'menarik', 'bayar', 'bayar', 'lebih', 'cepat', 'mudah', 'thanks']",tampilannya lucu banget menarik bayar bayar lebih cepat mudah thanks,"['tampil', 'lucu', 'banget', 'menarik', 'bayar', 'bayar', 'lebih', 'cepat', 'mudah', 'thanks']"
"Aplikasi wondr by BNI memiliki langkah proses yang lebih singkat dan cepat dibangdingan m-banking. Buka Qris gaperlu login, tampilanya juga kekinian bgtt. Gampang dipakai",Positive,Tampilan,Aplikasi wondr by BNI memiliki langkah proses yang lebih singkat dan cepat dibangdingan m banking Buka Qris gaperlu login tampilanya juga kekinian bgtt Gampang dipakai,aplikasi wondr by bni memiliki langkah proses yang lebih singkat dan cepat dibangdingan m banking buka qris gaperlu login tampilanya juga kekinian bgtt gampang dipakai,aplikasi wondr by bni memiliki langkah proses yang lebih singkat dan cepat dibangdingan sama banking buka QRIS tidak perlu login tampilan juga kekinian banget gampang dipakai,memiliki langkah proses lebih singkat cepat dibangdingan banking buka QRIS tidak login tampilan kekinian banget gampang dipakai,"['memiliki', 'langkah', 'proses', 'lebih', 'singkat', 'cepat', 'dibangdingan', 'banking', 'buka', 'QRIS', 'tidak', 'login', 'tampilan', 'kekinian', 'banget', 'gampang', 'dipakai']",memiliki langkah proses lebih singkat cepat dibangdingan banking buka QRIS tidak login tampilan kekinian banget gampang dipakai,"['milik', 'langkah', 'proses', 'lebih', 'singkat', 'cepat', 'dibangdingan', 'banking', 'buka', 'qris', 'tidak', 'login', 'tampilan', 'kini', 'banget', 'gampang', 'pakai']"
Sangat simple dan mudah digunakan,Positive,Tampilan,Sangat simple dan mudah digunakan,sangat simple dan mudah digunakan,sangat simpel dan mudah digunakan,sangat simpel mudah,"['sangat', 'simpel', 'mudah']",sangat simpel mudah,"['sangat', 'simpel', 'mudah']"
"Warna nya lucu, sekarang lebih mudah untuk bertransaksi cuma pakai pin angka aja. Oke deh pokoknya",Positive,Tampilan,Warna nya lucu sekarang lebih mudah untuk bertransaksi cuma pakai pin angka aja Oke deh pokoknya,warna nya lucu sekarang lebih mudah untuk bertransaksi cuma pakai pin angka aja oke deh pokoknya,warna ya lucu sekarang lebih mudah untuk bertransaksi cuma pakai pin angkanya saja oke saja pokoknya,warna lucu lebih mudah bertransaksi pakai pin angkanya oke pokoknya,"['warna', 'lucu', 'lebih', 'mudah', 'bertransaksi', 'pakai', 'pin', 'angkanya', 'oke', 'pokoknya']",warna lucu lebih mudah bertransaksi pakai pin angkanya oke pokoknya,"['warna', 'lucu', 'lebih', 'mudah', 'transaksi', 'pakai', 'pin', 'angka', 'oke', 'pokok']"
Tampilan bagus dan lebih cepat,Positive,Tampilan,Tampilan bagus dan lebih cepat,tampilan bagus dan lebih cepat,tampilan bagus dan lebih cepat,tampilan bagus lebih cepat,"['tampilan', 'bagus', 'lebih', 'cepat']",tampilan bagus lebih cepat,"['tampilan', 'bagus', 'lebih', 'cepat']"
Mudah lebih simpel,Positive,Tampilan,Mudah lebih simpel,mudah lebih simpel,mudah lebih simpel,mudah lebih simpel,"['mudah', 'lebih', 'simpel']",mudah lebih simpel,"['mudah', 'lebih', 'simpel']"
"User friendly, eye catching, mudah di gunakan, respon nya cepat, bisa pakai face id. Fiturnya lebih canggih dan menarik.",Positive,Tampilan,User friendly eye catching mudah di gunakan respon nya cepat bisa pakai face id Fiturnya lebih canggih dan menarik,user friendly eye catching mudah di gunakan respon nya cepat bisa pakai face id fiturnya lebih canggih dan menarik,user friendly eye catching mudah di gunakan respons ya cepat bisa pakai face id fiturnya lebih canggih dan menarik,user friendly eye catching mudah respons cepat bisa pakai face id fiturnya lebih canggih menarik,"['user', 'friendly', 'eye', 'catching', 'mudah', 'respons', 'cepat', 'bisa', 'pakai', 'face', 'id', 'fiturnya', 'lebih', 'canggih', 'menarik']",user friendly eye catching mudah respons cepat bisa pakai face id fiturnya lebih canggih menarik,"['user', 'friendly', 'eye', 'catching', 'mudah', 'respons', 'cepat', 'bisa', 'pakai', 'face', 'id', 'fiturnya', 'lebih', 'canggih', 'menarik']"
Kerenn bngettttðŸ¤ŸðŸ»ðŸ¤ŸðŸ»ðŸ¤ŸðŸ»,Positive,Tampilan,Kerenn bngetttt,kerenn bngetttt,keren banget,keren banget,"['keren', 'banget']",keren banget,"['keren', 'banget']"
"The Best, fiturnya lebih menarik dan lebih simpel ðŸ”¥ðŸ”¥",Positive,Tampilan,The Best fiturnya lebih menarik dan lebih simpel,the best fiturnya lebih menarik dan lebih simpel,the terbaik fiturnya lebih menarik dan lebih simpel,the terbaik fiturnya lebih menarik lebih simpel,"['the', 'terbaik', 'fiturnya', 'lebih', 'menarik', 'lebih', 'simpel']",the terbaik fiturnya lebih menarik lebih simpel,"['the', 'baik', 'fiturnya', 'lebih', 'menarik', 'lebih', 'simpel']"
"Lebih mudah menarik, penuh warnaa jadiin maumu bgtðŸ¤©ðŸ¤©",Positive,Tampilan,Lebih mudah menarik penuh warnaa jadiin maumu bgt,lebih mudah menarik penuh warnaa jadiin maumu bgt,lebih mudah menarik penuh warnaa jadikan maumu banget,lebih mudah menarik penuh warnaa jadikan maumu banget,"['lebih', 'mudah', 'menarik', 'penuh', 'warnaa', 'jadikan', 'maumu', 'banget']",lebih mudah menarik penuh warnaa jadikan maumu banget,"['lebih', 'mudah', 'menarik', 'penuh', 'warnaa', 'jadi', 'mau', 'banget']"
Keren sekali aplikasinya,Positive,Tampilan,Keren sekali aplikasinya,keren sekali aplikasinya,keren sekali aplikasinya,keren,['keren'],keren,['keren']
Aplikasi kekinian the best . . Mudah pengaplikasiannya dengan tampilan yang berwarna,Positive,Tampilan,Aplikasi kekinian the best   Mudah pengaplikasiannya dengan tampilan yang berwarna,aplikasi kekinian the best   mudah pengaplikasiannya dengan tampilan yang berwarna,aplikasi kekinian the terbaik mudah pengaplikasiannya dengan tampilan yang berwarna,kekinian the terbaik mudah pengaplikasiannya tampilan berwarna,"['kekinian', 'the', 'terbaik', 'mudah', 'pengaplikasiannya', 'tampilan', 'berwarna']",kekinian the terbaik mudah pengaplikasiannya tampilan berwarna,"['kini', 'the', 'baik', 'mudah', 'aplikasi', 'tampilan', 'warna']"
Aplikasi yg keren dan sangat memudahkan transaksi,Positive,Tampilan,Aplikasi yg keren dan sangat memudahkan transaksi,aplikasi yg keren dan sangat memudahkan transaksi,aplikasi yang keren dan sangat memudahkan transaksi,keren sangat memudahkan transaksi,"['keren', 'sangat', 'memudahkan', 'transaksi']",keren sangat memudahkan transaksi,"['keren', 'sangat', 'mudah', 'transaksi']"
"Aplikasinya keren tiap tanggal 25 bunyi sendiri. ""BNI""",Positive,Tampilan,Aplikasinya keren tiap tanggal  bunyi sendiri BNI,aplikasinya keren tiap tanggal  bunyi sendiri bni,aplikasinya keren tiap tanggal bunyi sendiri bni,keren tanggal bunyi,"['keren', 'tanggal', 'bunyi']",keren tanggal bunyi,"['keren', 'tanggal', 'bunyi']"
"Tampilan sangat menarik, kekinian banget dan lebih mudah..terimakasih BNI terbaik",Positive,Tampilan,Tampilan sangat menarik kekinian banget dan lebih mudah terimakasih BNI terbaik,tampilan sangat menarik kekinian banget dan lebih mudah terimakasih bni terbaik,tampilan sangat menarik kekinian banget dan lebih mudah terimakasih bni terbaik,tampilan sangat menarik kekinian banget lebih mudah terimakasih terbaik,"['tampilan', 'sangat', 'menarik', 'kekinian', 'banget', 'lebih', 'mudah', 'terimakasih', 'terbaik']",tampilan sangat menarik kekinian banget lebih mudah terimakasih terbaik,"['tampilan', 'sangat', 'menarik', 'kini', 'banget', 'lebih', 'mudah', 'terimakasih', 'baik']"
Keren dan menarik sekali gaes,Positive,Tampilan,Keren dan menarik sekali gaes,keren dan menarik sekali gaes,keren dan menarik sekali gaes,keren menarik gaes,"['keren', 'menarik', 'gaes']",keren menarik gaes,"['keren', 'menarik', 'gaes']"
Bagus+ simpel...,Positive,Tampilan,Bagus simpel,bagus simpel,bagus simpel,bagus simpel,"['bagus', 'simpel']",bagus simpel,"['bagus', 'simpel']"
